Kota,Bulan,Suhu_Min,Suhu_Max,Suhu_Rata,Kelembaban,Tekanan_Udara,Kecepatan_Angin,Arah_Angin,Lama_Penyinaran,Curah_Hujan_mm,Intensitas_Hujan
Wonosobo,4,18.7,28.2,23.1,99.0,926.5,4.9,BL,3.7,74.2,Hujan Lebat
Solo,12,25.9,34.1,31.0,92.1,1001.7,5.6,BD,2.8,77.2,Hujan Lebat
Kudus,9,25.1,32.9,28.3,81.5,1008.9,9.1,S,6.8,16.7,Hujan Ringan
Wonosobo,7,19.2,27.3,23.4,86.9,924.1,10.3,U,9.4,20.9,Hujan Sedang
Kudus,6,26.1,32.7,29.6,81.6,1011.8,5.4,BD,8.9,0.0,Tidak Hujan
Tegal,7,,34.2,29.0,78.6,1015.8,11.9,TL,6.4,0.0,Tidak Hujan
Purwokerto,1,23.1,33.1,27.6,95.6,1004.5,2.0,T,2.8,136.4,Hujan Lebat
Wonosobo,3,18.7,26.5,22.4,99.0,920.4,3.6,T,8.1,87.9,Hujan Lebat
Solo,7,26.6,34.8,29.4,70.2,1004.9,5.7,BD,8.0,0.0,Tidak Hujan
Solo,11,23.5,35.0,30.2,85.0,1004.6,3.9,T,7.7,44.3,Hujan Sedang
Semarang,8,25.0,36.2,31.1,80.4,1014.0,9.2,TG,10.7,0.0,Tidak Hujan
Cilacap,6,23.0,36.8,29.3,81.4,1008.4,17.3,TL,9.1,0.0,Tidak Hujan
Tegal,11,24.2,33.0,29.1,87.3,1013.7,3.4,S,6.6,40.5,Hujan Sedang
Magelang,7,23.6,29.6,26.7,88.1,968.5,13.3,BD,8.9,7.6,Hujan Ringan
Magelang,7,24.5,29.0,26.6,87.3,972.1,5.2,TL,8.5,9.9,Hujan Ringan
Kudus,8,23.0,32.3,27.3,81.3,1008.4,2.8,B,6.5,0.0,Tidak Hujan
Cilacap,4,24.9,31.4,27.9,86.4,1012.5,4.2,TG,3.3,24.7,Hujan Sedang
Kudus,10,23.6,33.0,27.6,87.9,1008.8,5.7,B,5.0,41.5,Hujan Sedang
Magelang,8,21.1,29.7,25.7,73.8,969.0,10.7,BL,,4.7,Hujan Ringan
Solo,9,20.8,30.6,25.5,82.2,1001.4,4.4,TG,10.1,0.0,Tidak Hujan
Tegal,1,25.3,35.2,30.3,94.6,1012.2,23.1,BL,7.0,39.9,Hujan Sedang
Kudus,6,24.7,33.3,29.0,81.9,1013.0,7.6,BD,7.6,11.9,Hujan Ringan
Salatiga,6,23.3,29.0,25.8,83.8,963.3,11.5,BD,8.4,20.8,Hujan Sedang
Magelang,10,25.5,,28.8,98.8,967.1,4.8,U,5.3,95.8,Hujan Lebat
Semarang,8,26.5,33.5,29.7,74.3,1012.5,,U,9.8,0.0,Tidak Hujan
Pekalongan,2,24.9,35.2,30.2,,1016.4,5.9,T,3.3,26.1,Hujan Sedang
Pekalongan,1,27.7,33.1,30.4,91.4,1011.2,2.2,U,5.0,47.9,Hujan Sedang
Semarang,12,25.4,32.9,28.9,87.6,1008.9,3.1,U,6.5,26.0,Hujan Sedang
Purwokerto,11,25.8,32.8,29.4,82.9,1004.9,17.7,BD,5.4,20.6,Hujan Sedang
Purwokerto,6,23.2,30.8,26.2,78.7,1001.3,2.3,B,6.0,12.6,Hujan Ringan
Purwokerto,8,24.5,30.8,27.2,,1006.6,29.7,TL,10.9,0.0,Tidak Hujan
Tegal,8,23.2,32.6,28.4,75.7,1014.5,,U,7.6,0.0,Tidak Hujan
Tegal,12,24.1,31.3,28.1,85.5,1009.6,3.2,BL,6.7,42.7,Hujan Sedang
Semarang,3,26.3,31.8,28.2,78.2,1012.0,9.0,U,6.2,14.9,Hujan Ringan
Purwokerto,10,24.7,31.9,28.1,92.1,1001.9,8.9,TL,,37.9,Hujan Sedang
Salatiga,5,19.6,31.9,25.5,84.3,958.0,14.4,BL,8.4,47.0,Hujan Sedang
Solo,10,25.4,33.6,29.6,80.4,999.5,25.6,S,4.8,46.9,Hujan Sedang
Solo,1,25.9,35.1,30.3,87.4,1002.8,10.3,BL,5.8,44.6,Hujan Sedang
Wonosobo,9,17.8,25.9,21.1,87.6,,2.9,TL,8.4,132.4,Hujan Lebat
Semarang,6,22.9,33.0,28.5,,1010.0,2.5,U,6.7,0.0,Tidak Hujan
Kudus,3,24.3,31.0,27.9,86.3,1008.9,4.2,T,0.5,40.4,Hujan Sedang
Wonosobo,1,20.7,24.4,22.5,97.0,924.3,7.8,TG,2.5,121.5,Hujan Lebat
Pekalongan,12,25.1,31.4,28.3,89.4,1012.2,6.8,BL,3.7,21.4,Hujan Sedang
Tegal,1,27.1,32.7,31.1,95.8,1010.6,4.0,BL,3.6,44.8,Hujan Sedang
Cilacap,10,22.4,32.7,28.4,91.1,1013.1,8.0,T,6.4,29.4,Hujan Sedang
Solo,5,24.2,34.8,30.0,76.3,1002.7,6.2,TL,7.3,10.2,Hujan Ringan
Salatiga,5,21.6,30.1,25.9,90.0,961.7,9.2,B,9.7,41.9,Hujan Sedang
Magelang,6,22.2,32.4,27.1,79.2,,11.1,U,12.0,13.5,Hujan Ringan
Semarang,2,26.0,31.8,28.5,80.9,1007.0,3.0,S,7.5,33.3,Hujan Sedang
Wonosobo,10,18.3,25.4,22.4,99.0,921.2,2.1,S,3.8,80.5,Hujan Lebat
Semarang,2,25.3,34.6,29.0,92.6,1012.8,2.1,TG,4.2,27.4,Hujan Sedang
Wonosobo,12,19.6,23.6,22.8,99.0,921.0,6.3,B,5.8,92.6,Hujan Lebat
Semarang,1,26.3,32.7,28.5,82.9,1014.4,2.3,TG,3.4,41.8,Hujan Sedang
Cilacap,4,24.5,30.4,27.8,94.6,1012.1,3.9,TG,4.7,23.8,Hujan Sedang
Solo,5,25.2,34.6,30.4,74.1,998.8,4.2,U,5.5,0.0,Tidak Hujan
Purwokerto,6,24.4,29.8,27.4,86.9,1003.5,3.0,BD,,2.6,Hujan Ringan
Cilacap,12,25.3,34.9,29.9,94.6,1018.2,5.2,TL,3.8,40.0,Hujan Sedang
Pekalongan,5,22.8,32.0,27.7,91.1,1012.3,6.1,BL,4.7,5.0,Hujan Ringan
Wonosobo,7,19.2,25.9,22.3,91.5,924.7,7.5,BL,11.4,20.0,Hujan Sedang
Cilacap,6,25.0,32.1,29.1,76.7,1009.4,8.3,S,9.5,0.0,Tidak Hujan
Cilacap,2,,29.0,26.3,93.7,1011.8,2.5,TL,5.0,34.5,Hujan Sedang
Solo,1,,34.2,31.3,84.4,1001.0,11.8,S,7.5,36.9,Hujan Sedang
Tegal,5,23.2,34.8,28.9,81.9,1014.0,4.1,BD,6.5,19.9,Hujan Ringan
Tegal,9,26.2,32.5,30.0,87.2,1015.0,2.5,S,6.4,13.0,Hujan Ringan
Pekalongan,6,25.6,33.2,29.5,77.8,1012.6,6.1,S,9.6,0.0,Tidak Hujan
Cilacap,7,25.3,33.3,28.8,89.8,1015.5,21.0,T,8.3,11.5,Hujan Ringan
Salatiga,6,21.2,27.8,23.9,84.7,,2.6,BL,8.7,37.5,Hujan Sedang
Semarang,10,23.1,33.1,28.7,85.8,1016.8,4.7,TG,6.6,12.0,Hujan Ringan
Cilacap,4,24.8,32.7,29.6,91.0,1009.6,2.2,BD,5.9,34.8,Hujan Sedang
Kudus,11,24.6,32.6,29.9,80.8,1008.8,2.4,B,5.2,34.2,Hujan Sedang
Pekalongan,11,26.1,33.5,29.8,84.1,1010.0,4.2,TL,6.7,49.3,Hujan Sedang
Tegal,11,24.4,34.9,29.7,89.5,1013.7,24.2,S,5.4,29.9,Hujan Sedang
Kudus,4,26.7,32.1,28.3,78.1,1011.4,22.9,TL,3.0,34.0,Hujan Sedang
Semarang,4,24.3,33.5,28.8,91.3,1016.4,5.7,TL,8.0,44.4,Hujan Sedang
Wonosobo,7,19.0,26.7,22.8,81.0,926.1,5.1,TG,11.6,24.9,Hujan Sedang
Solo,4,23.8,33.8,28.8,81.6,1004.6,,S,5.5,28.9,Hujan Sedang
Cilacap,11,25.3,34.7,29.9,89.6,1012.9,14.2,B,7.0,22.4,Hujan Sedang
Wonosobo,7,16.8,26.5,22.2,83.7,921.8,4.2,B,9.4,62.4,Hujan Lebat
Wonosobo,10,19.0,22.7,21.2,95.6,921.9,12.0,BD,9.1,84.2,Hujan Lebat
Kudus,5,22.7,34.3,28.4,,1010.5,10.4,TL,5.3,0.0,Tidak Hujan
Wonosobo,11,18.9,28.3,24.2,92.2,925.6,8.0,U,5.4,51.5,Hujan Lebat
Pekalongan,12,24.5,32.7,28.4,86.9,1013.9,11.3,S,5.9,26.8,Hujan Sedang
Pekalongan,10,24.7,31.6,28.0,84.9,1011.6,2.3,B,2.5,48.6,Hujan Sedang
Purwokerto,8,22.5,,26.4,81.9,1004.5,6.4,T,7.1,11.6,Hujan Ringan
Magelang,9,,32.5,26.4,,963.4,,U,4.1,3.3,Hujan Ringan
Salatiga,4,22.2,30.0,25.9,87.9,958.3,2.0,U,5.2,83.1,Hujan Lebat
Salatiga,8,22.9,,28.0,85.3,960.2,,TG,6.0,43.9,Hujan Sedang
Solo,10,23.1,36.8,29.5,78.4,1003.3,12.7,TG,4.3,38.9,Hujan Sedang
Pekalongan,6,25.4,32.0,29.3,74.6,1017.1,12.7,T,4.5,0.0,Tidak Hujan
Semarang,5,24.5,34.1,29.9,66.9,1013.9,36.0,BL,3.0,0.0,Tidak Hujan
Purwokerto,12,24.1,33.9,28.5,89.1,1000.0,4.2,B,2.8,32.6,Hujan Sedang
Solo,7,25.7,31.0,28.0,72.0,1000.7,5.8,BL,9.4,0.0,Tidak Hujan
Kudus,11,25.7,35.7,31.0,88.1,1010.2,2.9,S,9.9,21.8,Hujan Sedang
Salatiga,2,19.6,29.8,25.0,93.6,960.0,2.6,TL,,86.2,Hujan Lebat
Tegal,3,25.2,33.3,29.7,86.9,1016.0,5.4,BL,5.8,27.7,Hujan Sedang
Wonosobo,3,18.0,25.9,21.7,99.0,927.5,7.3,BD,,58.2,Hujan Lebat
Pekalongan,10,25.7,34.2,29.8,87.2,1015.9,4.9,BL,1.7,44.0,Hujan Sedang
Cilacap,1,24.1,33.7,29.9,94.8,1013.7,36.8,TL,5.4,24.0,Hujan Sedang
Purwokerto,9,23.0,29.5,26.6,80.8,1004.5,8.8,TG,6.8,0.0,Tidak Hujan
Tegal,7,25.0,32.1,29.0,76.6,1012.5,4.4,B,7.7,0.0,Tidak Hujan
Solo,9,25.4,35.2,30.3,69.7,1000.4,8.2,BL,4.4,0.0,Tidak Hujan
Kudus,11,25.0,32.7,29.1,86.7,1013.7,2.9,T,3.5,31.3,Hujan Sedang
Purwokerto,1,23.5,30.4,26.8,87.7,1006.9,14.5,B,3.8,46.1,Hujan Sedang
Wonosobo,2,19.0,26.1,22.4,94.2,919.6,3.7,BD,6.4,130.2,Hujan Lebat
Kudus,3,24.8,33.5,29.8,87.9,1012.9,2.8,U,4.1,22.5,Hujan Sedang
Kudus,4,26.8,,31.3,81.9,1012.2,8.1,B,7.0,35.3,Hujan Sedang
Semarang,3,24.6,29.9,27.5,87.1,1011.6,2.9,TL,3.4,46.6,Hujan Sedang
Kudus,11,26.3,35.2,30.3,79.8,1010.5,,BL,,49.9,Hujan Sedang
Cilacap,1,,29.7,26.9,89.2,1011.3,2.8,U,4.9,49.5,Hujan Sedang
Kudus,2,25.3,32.2,28.0,92.7,1014.4,3.3,BL,4.2,40.2,Hujan Sedang
Semarang,10,27.0,34.7,31.3,83.7,1015.4,5.9,TL,1.1,20.0,Hujan Sedang
Cilacap,6,24.8,33.2,29.1,81.6,1012.2,2.8,TG,9.5,0.0,Tidak Hujan
Semarang,12,,32.3,29.7,81.9,1014.6,2.5,BD,2.1,33.3,Hujan Sedang
Pekalongan,10,25.2,,29.3,87.2,1011.4,11.9,TL,5.1,42.6,Hujan Sedang
Kudus,10,25.3,33.0,28.7,90.5,1012.6,4.5,BL,3.9,49.8,Hujan Sedang
Kudus,1,25.1,,28.1,77.6,1008.7,24.8,BD,,29.9,Hujan Sedang
Solo,1,23.5,31.2,26.9,82.5,1001.1,8.0,T,5.6,20.6,Hujan Sedang
Solo,1,25.0,34.8,30.2,82.9,1002.7,2.1,BL,4.5,45.1,Hujan Sedang
Semarang,9,25.6,37.2,31.2,85.9,1016.8,3.3,U,9.5,0.0,Tidak Hujan
Kudus,6,,35.0,30.5,70.0,1010.3,5.2,B,,0.0,Tidak Hujan
Pekalongan,12,25.8,33.5,29.8,83.7,1016.0,6.3,BD,5.0,43.3,Hujan Sedang
Wonosobo,3,17.1,27.2,22.7,97.4,921.9,4.3,BL,3.9,111.9,Hujan Lebat
Wonosobo,2,19.1,29.3,24.0,87.4,922.6,7.0,TG,5.4,119.6,Hujan Lebat
Semarang,11,24.9,34.2,30.2,80.5,1011.7,7.6,T,4.7,4.8,Hujan Ringan
Tegal,8,25.5,31.1,28.6,75.8,1009.3,12.0,TG,6.8,0.0,Tidak Hujan
Magelang,2,22.9,33.0,28.0,97.0,965.1,3.1,S,5.3,70.1,Hujan Lebat
Semarang,4,26.6,33.9,29.5,85.0,1013.4,5.3,TL,5.4,38.7,Hujan Sedang
Magelang,3,23.3,30.1,27.5,94.0,967.2,5.4,B,7.1,148.6,Hujan Lebat
Cilacap,5,22.2,33.8,27.7,83.3,1011.6,,BD,11.2,0.0,Tidak Hujan
Wonosobo,8,17.6,28.4,22.4,89.4,923.2,3.4,B,11.2,20.8,Hujan Sedang
Cilacap,3,24.1,33.0,29.0,90.7,1017.2,3.7,TL,5.4,35.3,Hujan Sedang
Cilacap,8,25.1,30.4,27.8,89.1,1013.7,7.5,TG,6.6,17.3,Hujan Ringan
Purwokerto,2,23.5,32.6,27.4,89.9,1000.5,3.3,BL,7.1,30.2,Hujan Sedang
Magelang,11,22.2,29.5,25.3,96.6,969.9,11.3,U,6.5,69.6,Hujan Lebat
Semarang,10,,33.1,29.8,86.9,1010.8,20.4,BD,8.8,25.8,Hujan Sedang
Pekalongan,2,24.4,31.7,29.3,93.3,1009.9,4.9,BD,5.7,37.5,Hujan Sedang
Purwokerto,2,23.9,30.6,27.0,85.0,1003.3,3.7,TL,5.0,30.0,Hujan Sedang
Magelang,4,23.2,29.7,27.4,88.1,964.3,6.9,TL,4.1,139.3,Hujan Lebat
Pekalongan,7,26.0,31.4,28.8,79.7,1014.9,2.3,BD,7.1,0.0,Tidak Hujan
Solo,6,23.8,32.8,28.3,79.4,998.7,6.0,T,9.2,15.3,Hujan Ringan
Cilacap,12,23.3,31.3,28.1,91.1,1012.8,2.8,TL,3.7,32.7,Hujan Sedang
Pekalongan,7,26.2,32.5,29.1,71.1,1012.6,7.2,BD,6.9,0.0,Tidak Hujan
Tegal,8,24.9,32.0,28.6,76.4,1013.6,9.2,TG,10.0,0.0,Tidak Hujan
Solo,5,23.7,31.8,27.4,74.3,1001.6,2.7,TL,6.3,12.6,Hujan Ringan
Kudus,3,26.1,32.4,29.6,,1010.6,7.5,TL,5.8,31.8,Hujan Sedang
Wonosobo,8,18.2,26.4,22.7,90.2,922.8,3.3,TG,5.5,63.1,Hujan Lebat
Solo,10,27.3,,29.0,81.1,999.5,4.8,TG,5.8,38.5,Hujan Sedang
Magelang,7,22.1,27.5,24.6,82.5,970.1,5.3,BL,6.6,29.5,Hujan Sedang
Wonosobo,5,15.4,26.7,21.7,94.5,921.8,6.0,TL,5.3,143.8,Hujan Lebat
Cilacap,5,25.7,30.7,28.5,80.1,1012.2,4.9,T,,0.0,Tidak Hujan
Kudus,4,23.8,30.4,27.4,77.4,1013.4,10.1,BD,5.8,7.2,Hujan Ringan
Salatiga,4,20.5,29.8,24.7,88.0,958.1,8.5,U,2.2,55.7,Hujan Lebat
Purwokerto,10,24.8,30.6,27.6,88.0,1000.6,18.3,BL,6.1,21.2,Hujan Sedang
Tegal,3,26.6,33.3,28.9,83.4,1017.4,5.5,BL,5.6,31.6,Hujan Sedang
Cilacap,3,23.6,32.6,28.1,96.6,1012.8,5.2,B,3.5,72.1,Hujan Lebat
Kudus,5,24.0,30.5,27.9,76.1,1013.9,3.2,TG,11.1,0.0,Tidak Hujan
Cilacap,3,22.3,32.0,26.9,86.2,1012.1,28.6,TL,6.0,21.6,Hujan Sedang
Wonosobo,10,17.6,24.6,21.2,99.0,925.6,2.5,U,6.3,63.4,Hujan Lebat
Cilacap,8,23.7,32.1,28.1,84.3,1015.8,5.9,TL,3.1,18.3,Hujan Ringan
Pekalongan,10,25.6,32.8,29.2,83.8,1012.0,5.8,B,6.0,28.4,Hujan Sedang
Semarang,1,27.0,34.0,30.0,75.3,1010.6,2.4,TG,7.7,2.7,Hujan Ringan
Magelang,8,23.5,27.7,25.6,86.8,973.2,9.9,B,7.0,48.7,Hujan Sedang
Pekalongan,1,24.7,32.6,28.5,84.0,1013.4,2.9,BD,3.7,25.1,Hujan Sedang
Semarang,1,24.5,30.6,27.5,93.6,1013.6,4.5,TG,7.7,25.6,Hujan Sedang
Semarang,10,25.7,36.8,31.5,85.7,1015.4,2.9,S,5.4,33.5,Hujan Sedang
Solo,7,23.6,32.4,28.3,69.1,1000.5,7.5,TL,8.8,0.0,Tidak Hujan
Cilacap,7,24.1,32.9,28.6,73.0,,10.0,BD,9.9,0.0,Tidak Hujan
Tegal,9,,31.6,26.6,77.5,1011.4,24.1,TL,6.1,0.0,Tidak Hujan
Wonosobo,1,19.4,24.8,22.5,99.0,923.1,2.4,BD,3.8,77.8,Hujan Lebat
Solo,12,26.0,33.7,29.0,81.3,1002.5,2.8,S,5.9,30.4,Hujan Sedang
Pekalongan,8,23.6,34.2,29.3,83.7,1012.8,2.9,BD,7.5,19.1,Hujan Ringan
Purwokerto,4,22.1,30.2,26.9,90.2,1004.7,4.7,U,5.2,27.0,Hujan Sedang
Semarang,9,24.8,32.7,28.7,83.4,1015.5,5.7,U,12.0,0.0,Tidak Hujan
Purwokerto,3,23.7,28.9,25.9,92.7,1008.9,5.5,B,5.8,34.8,Hujan Sedang
Solo,6,24.8,30.8,27.2,72.8,999.3,17.8,T,7.8,0.0,Tidak Hujan
Pekalongan,11,23.0,34.2,28.7,91.0,1011.5,6.2,U,4.9,33.8,Hujan Sedang
Magelang,7,22.5,32.2,26.8,79.5,967.8,7.3,TL,7.6,11.0,Hujan Ringan
Salatiga,11,21.6,31.1,26.5,90.1,956.9,7.8,TL,7.1,63.6,Hujan Lebat
Magelang,11,23.2,30.3,27.3,93.8,967.0,10.0,S,5.7,67.1,Hujan Lebat
Pekalongan,4,26.6,32.5,30.4,92.5,1011.6,4.6,TL,2.2,44.7,Hujan Sedang
Solo,11,23.7,33.3,28.4,89.2,1001.8,12.5,TG,4.2,44.8,Hujan Sedang
Salatiga,2,23.6,29.5,26.9,92.2,961.9,25.8,S,4.5,118.3,Hujan Lebat
Wonosobo,6,,26.3,22.8,80.9,923.5,23.6,BL,6.6,22.3,Hujan Sedang
Kudus,11,24.3,34.0,29.7,82.6,1010.0,6.8,BL,6.0,27.6,Hujan Sedang
Kudus,5,24.7,34.8,30.0,65.9,1011.4,7.2,BL,7.4,0.0,Tidak Hujan
Kudus,5,25.1,,28.6,73.0,1009.6,4.6,B,10.0,0.0,Tidak Hujan
Wonosobo,3,19.3,25.7,23.0,99.0,923.2,4.0,TL,6.3,117.6,Hujan Lebat
Magelang,11,,31.1,27.0,98.4,971.8,9.3,B,6.1,117.3,Hujan Lebat
Cilacap,7,24.1,32.5,28.3,81.3,1014.1,10.9,BL,6.7,0.0,Tidak Hujan
Wonosobo,1,19.3,25.4,22.6,93.6,917.7,12.7,TL,6.9,94.8,Hujan Lebat
Purwokerto,10,23.3,33.4,28.6,88.2,1005.6,3.5,TG,2.5,48.4,Hujan Sedang
Semarang,12,24.8,32.1,28.4,81.4,1011.6,2.8,T,5.7,45.2,Hujan Sedang
Cilacap,4,24.0,31.8,27.3,87.8,1011.9,6.3,T,2.5,49.7,Hujan Sedang
Magelang,2,23.8,32.3,27.5,96.0,968.1,11.1,S,5.3,94.8,Hujan Lebat
Pekalongan,7,25.0,31.6,28.2,74.4,1014.4,5.9,TL,5.3,0.0,Tidak Hujan
Salatiga,2,20.6,31.1,26.6,85.9,961.0,3.6,BD,4.4,136.9,Hujan Lebat
Wonosobo,6,19.5,25.6,23.0,80.9,926.1,2.9,B,8.0,21.9,Hujan Sedang
Semarang,3,25.2,32.8,28.8,91.8,1012.0,25.9,BD,3.7,41.3,Hujan Sedang
Pekalongan,12,26.3,34.1,29.9,90.8,1012.4,2.4,TL,1.1,67.4,Hujan Lebat
Salatiga,2,21.1,30.1,25.9,82.1,960.3,12.2,S,5.3,89.0,Hujan Lebat
Semarang,10,26.2,34.8,30.7,85.0,,2.2,TG,2.9,27.1,Hujan Sedang
Solo,11,23.7,,28.5,85.1,1001.4,10.6,BL,7.1,48.4,Hujan Sedang
Wonosobo,11,19.9,22.2,21.0,94.5,921.3,,B,8.5,88.3,Hujan Lebat
Tegal,5,,33.0,29.6,85.4,1011.3,9.2,S,8.1,7.8,Hujan Ringan
Pekalongan,1,22.4,28.6,25.9,87.6,1012.2,9.6,T,7.8,38.6,Hujan Sedang
Semarang,7,24.7,32.3,28.4,84.3,1014.5,8.1,T,8.0,0.0,Tidak Hujan
Pekalongan,8,25.1,31.6,29.1,77.6,1011.4,5.1,S,7.1,0.0,Tidak Hujan
Wonosobo,2,18.1,25.1,22.3,87.8,921.0,4.2,TG,8.4,74.5,Hujan Lebat
Cilacap,5,23.1,31.9,27.3,83.0,1009.1,6.6,T,7.1,5.0,Hujan Ringan
Purwokerto,6,23.3,32.5,28.1,79.0,1001.8,39.2,B,6.2,3.8,Hujan Ringan
Purwokerto,10,24.1,33.4,28.8,87.7,1001.9,10.8,U,,45.3,Hujan Sedang
Kudus,7,24.9,35.3,30.3,,1012.3,13.4,U,6.9,4.5,Hujan Ringan
Semarang,2,28.4,35.3,32.2,86.6,1015.2,2.1,S,6.0,41.4,Hujan Sedang
Kudus,4,25.0,36.0,30.5,91.9,1011.9,3.1,S,3.1,38.2,Hujan Sedang
Salatiga,3,23.3,,26.3,95.9,961.8,3.4,BL,5.3,63.2,Hujan Lebat
Solo,4,23.8,32.9,28.9,83.7,1001.5,14.5,U,4.2,20.5,Hujan Sedang
Solo,12,26.2,31.9,29.4,78.7,1004.0,14.4,U,3.1,32.5,Hujan Sedang
Magelang,12,22.0,27.8,24.8,86.9,969.2,2.5,S,7.2,101.4,Hujan Lebat
Semarang,10,22.7,34.7,28.7,92.0,1009.9,13.3,B,0.0,108.8,Hujan Lebat
Kudus,1,25.8,36.6,31.4,84.2,1010.1,11.0,S,5.5,29.2,Hujan Sedang
Pekalongan,3,27.4,35.6,31.1,76.8,1012.5,3.8,U,5.8,6.2,Hujan Ringan
Salatiga,2,22.1,28.9,25.5,85.0,962.8,19.4,S,3.1,55.2,Hujan Lebat
Wonosobo,9,18.9,26.1,23.2,82.6,924.0,2.8,U,7.4,27.0,Hujan Sedang
Wonosobo,8,19.3,,21.9,88.7,924.9,29.1,TG,10.6,102.8,Hujan Lebat
Magelang,12,23.2,31.4,26.3,92.5,967.4,4.8,B,3.5,69.5,Hujan Lebat
Solo,4,24.6,31.5,28.1,87.9,1001.7,4.7,T,7.8,23.5,Hujan Sedang
Solo,7,25.4,31.3,28.6,73.0,1007.1,3.4,TL,,0.0,Tidak Hujan
Purwokerto,6,24.5,31.5,27.3,80.8,1009.3,4.2,BL,9.7,0.0,Tidak Hujan
Semarang,11,23.3,34.7,29.0,95.0,1010.2,5.0,BD,5.0,43.6,Hujan Sedang
Purwokerto,8,24.7,33.6,28.7,84.4,1006.0,3.4,TG,7.1,1.0,Hujan Ringan
Magelang,2,20.4,30.7,24.6,91.1,970.2,15.2,S,7.1,85.1,Hujan Lebat
Magelang,1,22.0,31.1,25.9,84.7,969.5,9.4,TG,4.1,87.9,Hujan Lebat
Magelang,2,22.6,27.2,24.8,92.0,962.5,23.5,T,5.0,115.1,Hujan Lebat
Purwokerto,7,23.6,30.2,27.3,86.0,1001.6,11.6,TG,8.7,11.6,Hujan Ringan
Pekalongan,7,23.6,31.0,27.2,74.5,1012.6,6.4,S,10.1,0.0,Tidak Hujan
Solo,12,26.0,30.7,28.6,84.0,1002.3,7.4,B,3.5,38.7,Hujan Sedang
Semarang,6,26.1,32.8,30.2,79.8,1010.4,7.0,S,9.3,0.0,Tidak Hujan
Tegal,9,24.9,32.4,28.1,83.2,1015.9,4.8,BD,10.1,0.0,Tidak Hujan
Tegal,7,,33.1,29.5,67.6,1009.2,6.5,TG,5.3,0.0,Tidak Hujan
Semarang,4,24.4,35.2,29.3,83.2,1008.1,2.5,BD,6.2,35.3,Hujan Sedang
Semarang,4,24.7,33.2,28.5,74.0,1013.4,6.3,TL,8.6,3.4,Hujan Ringan
Semarang,8,25.9,33.8,29.5,79.5,1015.5,11.8,TG,10.9,0.0,Tidak Hujan
Kudus,11,23.7,34.4,28.9,91.5,1012.4,17.1,S,4.9,21.9,Hujan Sedang
Tegal,12,25.0,30.8,29.0,79.8,1010.3,6.2,TG,4.1,38.5,Hujan Sedang
Pekalongan,8,26.7,34.2,31.4,80.1,,2.3,BD,8.2,0.0,Tidak Hujan
Salatiga,3,21.5,27.4,24.9,99.0,,7.0,BD,6.9,122.7,Hujan Lebat
Semarang,1,23.0,33.5,28.8,85.1,1014.5,3.4,TG,5.7,39.8,Hujan Sedang
Tegal,8,25.1,32.7,29.4,73.8,1011.4,3.3,B,6.8,0.0,Tidak Hujan
Wonosobo,12,19.4,27.8,23.3,99.0,924.8,2.7,S,1.5,126.7,Hujan Lebat
Wonosobo,4,18.7,26.7,22.7,99.0,923.3,6.8,U,8.0,137.4,Hujan Lebat
Kudus,6,25.1,32.4,29.0,76.2,1009.1,6.8,TL,7.9,0.0,Tidak Hujan
Wonosobo,1,18.5,25.7,21.8,95.7,920.1,8.9,U,6.5,118.6,Hujan Lebat
Semarang,11,26.5,32.6,29.6,82.6,1014.4,12.4,BD,7.4,36.4,Hujan Sedang
Solo,4,23.6,32.9,27.7,85.4,1000.9,7.8,T,10.1,23.4,Hujan Sedang
Solo,4,23.3,30.0,27.0,92.7,1000.2,3.5,TG,1.7,139.1,Hujan Lebat
Pekalongan,9,24.9,31.1,28.1,81.2,1013.0,4.0,TG,7.5,17.2,Hujan Ringan
Wonosobo,5,19.0,27.2,22.3,87.3,923.6,25.7,T,9.5,112.7,Hujan Lebat
Solo,7,26.0,32.2,29.6,77.6,1001.8,8.6,S,7.6,0.0,Tidak Hujan
Solo,3,25.2,32.9,28.1,88.5,1003.1,,U,5.0,24.3,Hujan Sedang
Semarang,1,28.6,34.5,31.1,93.0,1010.2,7.2,S,3.9,44.6,Hujan Sedang
Magelang,6,20.9,27.7,24.2,84.1,969.1,17.2,TG,7.1,18.6,Hujan Ringan
Purwokerto,9,24.3,31.9,28.1,87.4,999.6,9.6,S,6.5,16.0,Hujan Ringan
Tegal,3,26.4,32.7,29.1,90.6,1012.1,17.2,U,4.0,36.5,Hujan Sedang
Pekalongan,4,24.9,30.6,26.9,86.1,1011.2,2.5,U,6.2,21.1,Hujan Sedang
Kudus,2,24.0,,29.0,72.4,1009.5,5.1,BD,5.7,15.6,Hujan Ringan
Cilacap,10,24.9,33.6,30.2,93.5,1009.9,8.6,TL,4.5,56.9,Hujan Lebat
Salatiga,7,21.1,27.5,23.8,88.6,964.3,2.6,T,9.7,18.1,Hujan Ringan
Wonosobo,6,19.5,27.1,22.8,84.3,921.3,3.7,BD,5.0,122.9,Hujan Lebat
Semarang,2,26.9,32.7,30.4,83.6,1011.5,18.2,TG,4.6,23.9,Hujan Sedang
Semarang,8,24.8,34.6,29.9,82.8,1013.6,6.5,BD,4.8,15.3,Hujan Ringan
Purwokerto,11,26.9,34.0,29.6,86.1,1001.8,11.6,TL,6.3,40.3,Hujan Sedang
